epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,116.05,0.95123,0.90267,1.25502,0.7605,0.39182,0.49936,0.28406,2.04021,2.32447,2.72371,0.000269475,0.000269475,0.000269475
43,117.925,0.8672,0.94521,1.25006,0.35288,0.48752,0.48338,0.27938,2.15292,2.35558,2.84994,0.000255731,0.000255731,0.000255731
44,119.835,0.95354,0.99229,1.29146,0.52476,0.43987,0.50914,0.30125,2.32715,2.21256,3.03034,0.000241986,0.000241986,0.000241986
45,121.728,0.92294,0.90762,1.31854,0.47907,0.55375,0.50604,0.30496,2.27258,2.10717,3.01486,0.000228242,0.000228242,0.000228242
46,123.966,0.88924,0.90562,1.29023,0.55842,0.36731,0.51266,0.29433,2.3457,2.06813,3.13881,0.000214497,0.000214497,0.000214497
47,126.724,0.82881,0.83916,1.21278,0.49853,0.46937,0.41591,0.26243,2.31403,2.21661,3.17407,0.000200753,0.000200753,0.000200753
48,128.92,0.83009,0.8742,1.23941,0.41769,0.45975,0.45769,0.25042,2.35177,2.36351,3.24686,0.000187008,0.000187008,0.000187008
49,130.901,0.87237,0.94279,1.22229,0.4588,0.61508,0.52932,0.26549,2.3232,2.16092,3.28138,0.000173264,0.000173264,0.000173264
50,132.83,0.86249,0.87366,1.31273,0.57678,0.57269,0.63862,0.31547,2.24566,2.13052,3.12905,0.00015952,0.00015952,0.00015952
51,136.154,0.85636,1.03129,1.34663,0.59777,0.60807,0.63538,0.3027,2.37759,2.0363,3.18035,0.000145775,0.000145775,0.000145775
52,139.183,0.89107,0.95888,1.37174,0.67821,0.7015,0.6921,0.32711,2.41482,1.9127,3.11609,0.000132031,0.000132031,0.000132031
53,141.957,0.78631,0.84389,1.28708,0.78328,0.70332,0.74194,0.32285,2.34787,1.83762,3.06572,0.000118286,0.000118286,0.000118286
54,143.999,0.74734,0.77033,1.20412,0.87755,0.66557,0.78792,0.35751,2.26111,1.82296,3.05398,0.000104542,0.000104542,0.000104542
55,146.03,0.75349,0.70479,1.21847,0.76508,0.70841,0.77681,0.35897,2.25522,1.83001,3.00877,9.0797e-05,9.0797e-05,9.0797e-05
56,148.071,0.72597,0.75564,1.16245,0.79383,0.69946,0.74917,0.35935,2.20145,1.839,2.84753,7.70525e-05,7.70525e-05,7.70525e-05
57,150.034,0.72715,0.70499,1.20479,0.81009,0.69303,0.7575,0.36387,2.22184,1.81808,2.84681,6.3308e-05,6.3308e-05,6.3308e-05
58,152.028,0.72487,0.75967,1.23386,0.80962,0.70067,0.7575,0.38716,2.22205,1.82792,2.794,4.95635e-05,4.95635e-05,4.95635e-05
59,155.409,0.67386,0.70358,1.16585,0.89882,0.6812,0.76028,0.37313,2.23541,1.84357,2.76234,3.5819e-05,3.5819e-05,3.5819e-05
60,157.752,0.69623,0.73723,1.18069,0.83706,0.63913,0.68775,0.34751,2.15618,1.93521,2.65856,2.20745e-05,2.20745e-05,2.20745e-05
